Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Automation Risk 2020 (%),Automation Risk 2021 (%),Automation Risk 2022 (%),Automation Risk 2023 (%),Automation Risk 2024 (%)
Firefighter,IT,Increasing,Low,34082.78,High School,4,2163,6734,87.31,90.32,Canada,48.98,86.12,87.58,84.31,89.2,90.5
Charity fundraiser,Education,Increasing,High,41523.13,Bachelor’s Degree,2,7568,9624,23.23,63.1,India,38.94,57.43,66.83,62.76,57.76,64.68
Housing manager/officer,Education,Decreasing,Moderate,92165.61,PhD,17,2582,5018,18.15,66.91,USA,34.93,60.99,67.67,69.47,63.03,69.79
Jewellery designer,Retail,Increasing,High,62229.93,High School,15,3369,3297,87.85,21.83,Canada,43.89,16.87,18.92,22.41,18.96,19.04
Ecologist,IT,Decreasing,Moderate,106122.32,Associate Degree,17,5407,4631,43.99,4.91,India,42.53,0,0,0.28,2.47,3.87
Operations geologist,Entertainment,Increasing,High,142549.39,High School,5,7635,3586,8.59,70.67,USA,26.25,67.16,65.52,72.03,67.11,79.22
Patent attorney,Entertainment,Increasing,Low,76323.91,Associate Degree,18,1334,2198,12.72,21.4,China,32.51,19.24,16.76,17.01,21.03,20.22
Media buyer,Transportation,Decreasing,Low,79665.42,PhD,20,1527,5198,76.29,41.06,China,69.95,39.51,39.55,38.76,37.35,36.22
Town planner,Entertainment,Increasing,Moderate,41105.21,Master’s Degree,14,8467,4447,36.16,67.4,China,26.15,60.83,66.42,65.15,61.01,67.01
Tour manager,Finance,Increasing,High,121435,Associate Degree,5,6840,6963,1.36,93.49,UK,26.05,87.35,83.45,89.47,90.62,87.01
Higher education careers adviser,Finance,Increasing,Low,124663.97,Master’s Degree,9,7445,9354,53.86,35.94,UK,75.44,32.66,34.03,36.21,36.98,31.55
Fitness centre manager,Transportation,Increasing,Moderate,41067.95,Bachelor’s Degree,20,3104,7299,98.89,59.01,UK,69.5,50.94,56.69,57.69,58.69,70.61
Immunologist,IT,Decreasing,Low,148115.7,PhD,2,7341,8522,33.47,71.87,India,20.75,68.71,71.82,72.21,72.15,69.67
Contracting civil engineer,Finance,Increasing,High,38486.99,PhD,12,9860,1304,17.25,72.21,Canada,55.07,67.19,63.14,66.66,67.31,70.95
Surgeon,Healthcare,Increasing,High,35799.45,PhD,2,6281,447,55.15,87.52,Brazil,37.04,93.17,76.7,88.01,79.31,84.79
Environmental consultant,Transportation,Decreasing,Low,54495.6,Associate Degree,20,1830,3231,11.48,48.54,India,39.11,48.26,45.93,43.25,45.03,49.85
"Engineer, electrical",Manufacturing,Increasing,Low,65875.53,PhD,3,7659,7989,31.94,31.73,Brazil,58.24,27.14,30.02,30.16,29.01,36.43
"Surveyor, commercial/residential",IT,Decreasing,Low,60038.64,Bachelor’s Degree,0,3922,327,52.4,88.22,India,26.59,85.6,75.62,85.84,83.38,90.7
Customer service manager,Finance,Increasing,Low,50955.44,Bachelor’s Degree,20,2523,2066,74.75,76.44,Australia,79.71,69.23,72.64,75.84,78.04,71.05
Microbiologist,Entertainment,Decreasing,Moderate,113064.81,Bachelor’s Degree,6,5766,1439,77.68,47.32,Germany,30.38,41.34,41.93,42.41,50.47,47.5
Secretary/administrator,Retail,Increasing,Low,97806.7,Master’s Degree,4,1437,272,24.61,60.71,USA,28.52,53.37,61.24,65.87,62.88,55.03
Armed forces operational officer,Finance,Increasing,Moderate,102858.12,High School,20,2105,7045,42.29,10.19,USA,20.25,3.32,7.68,5.31,8.59,10.39
"Therapist, horticultural",Healthcare,Decreasing,Moderate,82449.59,PhD,11,8459,4383,19.56,46.59,Australia,30.99,40.9,44.02,35.4,42.42,45.26
Architect,Healthcare,Increasing,Low,147313.07,Bachelor’s Degree,16,7292,2487,0.79,61.68,Germany,26.25,55.4,65.47,55.63,59.37,61.7
"Engineer, structural",Education,Increasing,High,77792.33,Bachelor’s Degree,7,7836,6700,71.9,36.73,Australia,63.61,37.23,30.39,37.81,35.46,33.53
Trade union research officer,IT,Decreasing,High,82029.69,Master’s Degree,8,3144,3121,55.22,98.23,Brazil,60.82,90.53,91.32,89.71,94.64,94.57
Radio producer,Finance,Increasing,Moderate,105560.54,Master’s Degree,20,7406,3389,68.35,19.84,Brazil,48.26,14.08,16.43,19.56,14.85,23.11
Primary school teacher,Manufacturing,Decreasing,High,137071.8,High School,0,1171,8644,74.87,52.54,India,60.76,41.33,47.91,51.23,51.32,49.58
Site engineer,Finance,Increasing,Moderate,50632.02,Master’s Degree,1,1868,6591,85.62,30.27,Australia,26.77,23.77,24.28,25.25,29.92,29.93
Tour manager,Retail,Decreasing,Low,80521.07,Bachelor’s Degree,6,3142,507,79.18,8.83,USA,74.74,4.46,7.9,7.48,9,9.31
Electrical engineer,Manufacturing,Increasing,Moderate,88804.87,Bachelor’s Degree,2,5614,3475,66.17,5.43,Germany,53.48,0.05,1.3,4.27,4.84,4.6
Armed forces logistics/support/administrative officer,Retail,Decreasing,Low,113965.96,Associate Degree,11,2103,3229,38.63,48.58,Germany,53.01,45.78,49.84,44.94,48.94,47.35
"Programmer, systems",Finance,Increasing,Low,131852.51,High School,9,1876,5623,20.29,7.3,UK,22.67,2.73,5.83,6.2,7.02,8.7
Archivist,Finance,Decreasing,High,33072.25,Master’s Degree,7,2569,1514,83.28,83.87,Germany,52.41,76.15,80.37,77.94,82.05,81.79
Tourist information centre manager,Retail,Increasing,High,46195.73,Associate Degree,8,7005,8436,8.68,89.63,Brazil,77.46,84.19,87.44,82.69,96.05,84.25
Occupational therapist,Manufacturing,Increasing,Moderate,82210.61,PhD,20,7442,8558,47.66,20.84,Brazil,57.67,14.26,20.1,20.12,20.57,21.38
General practice doctor,Transportation,Increasing,High,94118.58,PhD,0,4069,5391,99.88,21.59,USA,37.47,15.06,14.46,17.85,17.54,22.38
Air cabin crew,Retail,Decreasing,Low,96498.83,Master’s Degree,10,815,1655,50.9,46.38,USA,74.62,42.8,41.47,43.56,46.31,44.12
"Therapist, art",Retail,Decreasing,Moderate,74424.16,PhD,5,622,2406,47.96,53.24,USA,53.94,46.19,50.39,51.3,49.87,50.88
"Lighting technician, broadcasting/film/video",Education,Decreasing,High,76301.45,Bachelor’s Degree,5,9510,9086,86.47,57.29,China,43.21,54.79,50.03,50.81,53.68,55.95
Herbalist,Manufacturing,Increasing,High,106276.67,Master’s Degree,11,813,2546,95.92,50.01,India,64.31,45.74,50.28,49.46,47.45,48.91
Technical brewer,Education,Decreasing,Moderate,114843.48,PhD,12,9965,2903,91.98,43.49,Brazil,46.01,38.18,41.44,41.18,43.4,40.67
Water engineer,Entertainment,Decreasing,Moderate,33122.25,Bachelor’s Degree,4,187,8383,21.9,8.62,USA,28.55,4.53,7.32,5.43,7.33,8.83
Animal technologist,Finance,Decreasing,Moderate,112646.79,Associate Degree,7,2976,8835,34.51,94.79,USA,27.37,87.05,90.96,91.24,92.81,90.23
Clothing/textile technologist,Finance,Decreasing,Moderate,128177.18,Master’s Degree,12,7678,5185,22.6,54.03,Brazil,33.84,48.11,50.78,54.96,54.62,59.55
Site engineer,Education,Decreasing,High,87311.09,Master’s Degree,17,4517,3138,15.96,86.18,Australia,51.11,79.8,87.14,84.98,93.83,82.23
Cabin crew,Retail,Decreasing,High,93530.19,Associate Degree,15,4742,4747,92.46,19.9,UK,53.04,12.29,13.96,11.94,16.46,17.14
Estate manager/land agent,Retail,Increasing,Moderate,41380.56,PhD,5,701,3748,72.19,22.63,Germany,47.46,18.46,19.77,24.02,22.9,20.47
Database administrator,Entertainment,Decreasing,High,61072.12,Bachelor’s Degree,17,5028,7954,13.43,23.69,Brazil,59.66,15.2,19.58,16.87,25.14,25
"Teacher, music",Manufacturing,Decreasing,High,147474.55,PhD,17,3722,8025,95.69,54.06,Canada,66.61,47.4,44.55,55.17,51.62,56.88
Clinical embryologist,IT,Increasing,Moderate,99763.19,Associate Degree,16,6683,3285,74.98,71.29,Australia,37.61,57.99,63.11,66.81,68.46,68.15
Photographer,Retail,Increasing,Moderate,39219.27,Bachelor’s Degree,19,3161,1466,89.91,91.28,Brazil,43.23,89.42,83.15,87.98,89.99,92.56
Consulting civil engineer,Transportation,Increasing,Low,47345.9,High School,15,5603,6775,71.4,85.49,China,76.68,84.88,78.12,77.15,89.28,86.14
"Designer, multimedia",Finance,Increasing,Low,36480.96,PhD,1,3400,2048,42.57,23.04,China,62.43,17.2,23.08,20.77,23.94,22.35
Architectural technologist,Education,Increasing,High,112692.04,High School,16,2870,9159,51.62,50.77,China,20.36,53.75,53.48,48.07,52.41,52.07
Acupuncturist,Retail,Decreasing,Low,53447.29,Bachelor’s Degree,17,7125,470,85.94,78.62,Brazil,67.13,80.75,72.38,79.38,81.44,71.2
"Engineer, technical sales",Manufacturing,Increasing,Low,66531.98,Bachelor’s Degree,20,6137,8584,80.82,20.06,China,60.05,14.77,13.53,17.81,20.45,22.66
"Engineer, mining",Healthcare,Decreasing,Low,115731.01,PhD,12,6625,5265,96.13,78.58,China,22.78,76.77,83.18,72,71.17,77.95
"Investment banker, operational",Education,Increasing,High,48522.58,PhD,2,3494,1524,89.76,88.44,UK,40.62,86.79,85.7,77.9,86.77,82.37
Manufacturing engineer,Transportation,Decreasing,Low,95483.65,High School,4,5842,2181,54.32,65.13,Germany,40.78,63.94,63.6,59.78,61.96,60.77
"Librarian, public",Education,Increasing,High,145028.73,High School,4,7767,669,48.68,94.53,Germany,60.52,91.01,96.07,88.31,95.42,91.58
Air broker,Transportation,Decreasing,Moderate,134199.76,Bachelor’s Degree,9,5919,7865,6.29,73.96,India,37.44,66.01,69.56,67.11,69.9,68.51
Counselling psychologist,Finance,Increasing,Low,129086.95,Associate Degree,10,8436,7321,86.99,92.97,Australia,27,97.2,89.76,87.45,92.21,91.65
Microbiologist,Finance,Increasing,High,49354.81,High School,13,7779,2602,15.01,5.23,Brazil,47.94,0,0.01,1.81,1.23,2.72
Quarry manager,Entertainment,Decreasing,High,78151.66,PhD,12,1542,224,93.08,38.05,China,27.12,30.82,26.77,30.15,39.06,41.1
Speech and language therapist,Finance,Decreasing,Low,142772.8,Associate Degree,6,8551,7427,1.56,14.37,UK,73.21,9.69,12.12,12.45,18.64,15.69
Ranger/warden,Retail,Increasing,Moderate,77414.15,Associate Degree,16,1135,1815,28.29,30.13,Brazil,22.82,25.32,24.23,23.57,28.82,27.41
Animal nutritionist,Retail,Decreasing,Low,132109.73,PhD,9,1393,5492,44.12,82.2,China,64.51,73.41,77.12,76.02,87.63,85.07
Ecologist,Education,Increasing,Low,101582.62,Master’s Degree,17,2010,4265,76.32,33.41,USA,34.36,31.64,35.71,32.55,30.55,36.87
"Engineer, civil (contracting)",Finance,Increasing,High,126030.56,High School,16,6398,9686,10.28,45.75,India,67.3,39.5,36.53,40.52,40.11,40.22
Hospital pharmacist,IT,Increasing,Low,63660.78,High School,8,6427,2431,35.98,45.38,Germany,64.92,42.78,46.64,38.23,44.89,42.47
Police officer,Healthcare,Increasing,Low,73217.2,Bachelor’s Degree,14,1024,4511,36.72,75.12,USA,79.33,71.19,71.22,70.62,74.46,71.58
Research scientist (maths),Healthcare,Increasing,Moderate,94919.8,Bachelor’s Degree,12,1339,8007,18.1,67.66,India,31.77,65.61,65.08,65.02,63.26,65.02
"Lighting technician, broadcasting/film/video",Education,Decreasing,High,108805.77,High School,3,6086,1278,13.71,94.72,India,23.89,94.75,94.29,88.53,93.85,97.33
Radiation protection practitioner,Education,Decreasing,Moderate,56786.75,Bachelor’s Degree,2,6513,5031,84.53,97.18,Brazil,61.5,87.31,97.58,92.75,98.7,93.31
Database administrator,Healthcare,Decreasing,Moderate,132524.15,High School,7,9910,1918,96,71.28,Australia,29.85,61.71,62.96,69.65,71.02,67.39
Advice worker,Entertainment,Increasing,Moderate,143518.25,Bachelor’s Degree,3,4866,2662,30.27,46.55,Canada,53.4,43.4,37.74,43.36,41.04,43.66
Meteorologist,Finance,Increasing,Low,59422,Associate Degree,19,4293,8258,62.32,66.46,China,70.41,62.43,60.09,62.6,68.3,63.6
Aeronautical engineer,Entertainment,Decreasing,Moderate,47620.87,Associate Degree,12,9748,5026,96.93,42.37,China,51.55,39.69,35.24,40.84,44.36,34.52
"Administrator, local government",Education,Increasing,Moderate,108313.35,PhD,11,3020,7776,72.28,52.13,China,47.94,47.19,51.9,50.01,52.27,49.78
Museum/gallery conservator,IT,Decreasing,High,115733.83,Master’s Degree,8,245,1348,82.8,82.18,USA,51.48,72.77,73.76,80.96,79.29,81.57
Technical author,Transportation,Increasing,Low,74976.7,PhD,9,6805,8708,54.31,48.3,Germany,59.53,43.59,44.06,44.92,48.06,46.36
Multimedia specialist,IT,Increasing,Moderate,45128.7,PhD,17,3983,4328,28.97,59.57,Germany,62.93,53.02,60.39,57.93,55.5,62.02
Counsellor,Retail,Increasing,High,86685.95,High School,3,2123,8756,6.46,98.3,China,21.56,90.63,84.55,90.31,87.64,95.57
"Engineer, maintenance (IT)",Entertainment,Decreasing,Low,65110.03,Associate Degree,20,9241,7360,97.91,61.47,Germany,32.58,58.03,64.28,60.46,59.34,63.54
Fish farm manager,Healthcare,Decreasing,Moderate,95591.96,Bachelor’s Degree,19,5099,3767,3.67,29.38,UK,66.3,21.11,27.54,29.42,24.66,31.5
Ambulance person,Entertainment,Increasing,Low,115218.06,Master’s Degree,11,5664,726,79.7,14.22,Germany,54.18,11.37,10.62,13.34,17.19,13.87
Multimedia programmer,Manufacturing,Decreasing,High,91153.53,Bachelor’s Degree,17,5543,7847,42.83,97.81,China,45.09,93.71,91.61,90.92,99.41,92.97
Higher education lecturer,Manufacturing,Increasing,Moderate,39821.63,Master’s Degree,9,8656,1839,18.11,68.75,Australia,48.13,65,63.85,68.06,68.34,71.65
Quantity surveyor,Manufacturing,Increasing,High,95652.17,Master’s Degree,18,2147,200,91.86,39.85,China,79.28,33.28,34.96,34.09,36.57,39.83
"Surveyor, commercial/residential",IT,Increasing,Low,74928.04,Bachelor’s Degree,8,6224,4765,97.13,51.86,USA,67.83,48.92,44.84,51.37,53.9,52.07
Database administrator,Finance,Decreasing,High,30082.02,Bachelor’s Degree,18,5061,2666,95.49,53.61,Brazil,36.82,51.64,44.96,45.06,44.96,56.7
Senior tax professional/tax inspector,Healthcare,Decreasing,High,68534.6,Associate Degree,0,2239,2287,16.95,11.31,UK,35.16,8.61,8.09,9.48,7.68,15.03
Interpreter,Education,Increasing,Moderate,100364.95,High School,9,3614,7433,83.06,9.25,UK,57.36,6.98,7.44,9.04,9.1,9.15
Animator,Finance,Increasing,Low,56683.32,Master’s Degree,7,9468,1197,73.55,12.79,UK,33.48,7.1,10.32,13.82,13.64,14.95
"Exhibitions officer, museum/gallery",Entertainment,Increasing,Moderate,40113.86,PhD,1,5842,4041,99.69,29.24,India,43.07,23.02,22.89,25.94,27.37,30.84
Museum/gallery exhibitions officer,Finance,Decreasing,High,122712.77,PhD,13,7452,533,38.31,12.64,Germany,57.39,1.66,9.27,7.66,8.72,9.18
Press sub,Manufacturing,Increasing,Low,138559.19,PhD,2,1865,7124,8.34,6.68,Germany,78.01,1.07,5.84,5.12,3.37,3.92
Automotive engineer,Healthcare,Increasing,Low,111482.46,Bachelor’s Degree,3,7139,2848,72.38,85.15,China,61.77,81.69,90.24,82.84,78.22,83.73
Counselling psychologist,Transportation,Decreasing,Low,62522.17,High School,9,426,2184,0.43,1.31,UK,53.4,0,0,0,0,1.68
Contractor,Education,Decreasing,Low,44542.32,Associate Degree,12,3008,5292,93.08,56.09,Germany,55.49,60.22,58.28,54.18,51.87,63.93
Animal nutritionist,Education,Increasing,Low,115671.06,High School,18,5068,1631,49.36,73.57,Canada,33.37,72.04,72.22,72.43,73.6,72.68
Youth worker,Manufacturing,Increasing,Moderate,43802.25,Associate Degree,15,8052,7954,65.03,86.35,India,24.81,80,80.91,83.82,82.53,82.63
"Scientist, research (maths)",Healthcare,Decreasing,High,132375.17,Bachelor’s Degree,11,847,9885,81.56,1.97,USA,79.69,0,0,1.97,0,2.89
Horticultural consultant,Finance,Increasing,High,137288.73,PhD,10,7120,7702,9.61,26.54,China,35.75,21.6,15.54,21.07,22.57,21.75
Music therapist,Finance,Increasing,Moderate,31798.64,High School,9,7886,3875,77.57,16.72,USA,71.87,9.16,9.7,16.63,16.19,18.07
Careers adviser,Entertainment,Decreasing,Low,95635.67,Bachelor’s Degree,0,6192,575,8.04,11.56,Australia,68.89,9.39,6.67,8.49,11.06,8.6
Paediatric nurse,Manufacturing,Increasing,Low,103114.26,Associate Degree,6,4262,7171,27.99,72.44,Germany,64.8,72.26,69.32,69.38,73.93,73.51
Research scientist (physical sciences),Finance,Decreasing,High,129182.71,PhD,11,9680,9221,56.75,46.68,USA,54.16,37.83,43.8,38.86,45.35,46.84
"Programmer, applications",Education,Increasing,Low,124163.37,PhD,10,6069,2051,92.95,26.41,UK,64.49,23.95,25.76,22.49,27.83,25.64
Child psychotherapist,IT,Decreasing,High,86255.49,Bachelor’s Degree,19,6848,6126,78.17,6.46,China,21.4,0,0.44,0,0.17,1.87
Early years teacher,Healthcare,Decreasing,Low,98270.84,Associate Degree,14,2100,4815,78,3.09,USA,35.38,1.96,0,4.62,0,5.37
Armed forces technical officer,Entertainment,Increasing,High,125777.17,Master’s Degree,11,8080,8549,88.61,18.83,Canada,41.76,12.77,13.43,13.8,17.05,17.45
Electrical engineer,IT,Increasing,High,96517.87,Associate Degree,9,2440,4924,50.73,76.44,USA,71.39,70.88,69.07,71.16,71.16,74.27
Statistician,Education,Decreasing,Moderate,66108.46,Master’s Degree,19,5190,9121,78.7,11.59,Germany,79.76,9.66,6.43,7.6,11.96,11.41
Ambulance person,Manufacturing,Decreasing,Moderate,42123.55,PhD,11,3375,9427,81.03,27.86,USA,34.02,23.43,24.7,26.27,25,25.24
Advertising account executive,Retail,Increasing,Moderate,79247.56,Bachelor’s Degree,18,148,4850,97.16,63.98,USA,52.83,60.15,57.03,62.68,56.36,66.6
Electronics engineer,Finance,Decreasing,High,135527.8,Master’s Degree,13,1496,6566,48.89,91.28,Canada,20.47,85.48,86.13,90.77,95.22,94.02
Advertising account planner,Healthcare,Increasing,Low,103605.72,PhD,19,8653,9418,82.02,16.14,Brazil,73.22,10.39,11.92,13.64,15.35,16.75
Ergonomist,IT,Decreasing,High,125240.22,Bachelor’s Degree,20,3266,7064,90.05,75.5,Germany,64.37,63.02,68.4,66.81,69.3,68.25
Community arts worker,Education,Decreasing,Low,84259.31,Bachelor’s Degree,18,4979,5010,81.84,82.85,Germany,51.08,77.42,76.06,77.91,86.35,78.72
Accounting technician,Manufacturing,Increasing,Moderate,143698.64,High School,19,7183,880,26.95,62.03,Brazil,69.01,66.88,60.49,60.25,57.55,63.58
Magazine features editor,Finance,Decreasing,Moderate,137199.79,Master’s Degree,10,2277,424,5.01,60,UK,34.43,52.1,55.6,64.85,57.28,62.59
"Engineer, building services",Education,Decreasing,High,66477.58,Associate Degree,11,9791,2123,54.69,50.28,USA,20.69,44.91,47.57,53.66,47.09,55.08
"Administrator, local government",Entertainment,Decreasing,High,89399.03,High School,17,6622,6520,85.77,30.99,Canada,54.39,26.21,24.42,28.63,30.75,31.2
Bookseller,Entertainment,Increasing,Moderate,89906.41,Bachelor’s Degree,11,3007,8110,82.73,52.83,India,50.56,42.99,46.59,49.07,50.6,53.74
Cabin crew,Transportation,Increasing,Low,101774.94,Master’s Degree,18,4674,3718,91.55,62.82,UK,62.46,59.92,55.5,62.01,63.49,64.01
Cartographer,Healthcare,Increasing,High,131835.84,PhD,16,6314,3279,65.18,86.96,UK,42.78,87.5,87.27,86.51,85.11,79.36
Pensions consultant,IT,Increasing,Moderate,72306.22,PhD,4,1169,9952,93.25,52.89,USA,45.55,46.72,47.53,49.23,45.95,48.05
"Biochemist, clinical",Healthcare,Increasing,Low,144453.63,Master’s Degree,17,2732,8497,78.88,58.41,Germany,34.24,59.74,56.6,59.37,57.66,58.09
"Designer, ceramics/pottery",IT,Increasing,Moderate,90734.3,High School,20,9306,2830,65.81,29.91,Brazil,52,24.66,22.67,25.64,25.8,27.37
Dramatherapist,Entertainment,Increasing,Moderate,102041.25,Associate Degree,4,7973,2664,21.48,97.04,USA,67.23,90.68,94.02,91.93,100,92.09
Herbalist,Transportation,Increasing,Moderate,32631.51,High School,7,918,374,5.79,55.59,UK,39.75,50,50.2,57.17,54.21,57.86
Water engineer,Finance,Decreasing,Moderate,110089.08,Bachelor’s Degree,16,7984,4961,89.47,8.02,Australia,37.78,0,3.68,5.97,5.76,8.67
Training and development officer,Finance,Decreasing,High,31374.53,PhD,5,2519,1191,42.86,78.34,China,62.35,68.55,77.53,82.51,73.82,75.06
Museum education officer,Education,Decreasing,High,106745.24,Master’s Degree,19,5590,5737,95.49,44.25,China,74.34,45.11,46.12,40.82,41.76,42.8
"Therapist, music",Entertainment,Increasing,High,118420.93,Master’s Degree,3,3071,6973,70.01,82.6,Canada,22.32,70.75,73.75,74.71,76.95,81.16
Materials engineer,Healthcare,Decreasing,Moderate,148555.76,Bachelor’s Degree,3,5613,3240,93.38,19.31,Australia,41.79,16.8,20.13,15.43,20.16,18.27
Clinical biochemist,Manufacturing,Decreasing,Low,42568.43,Bachelor’s Degree,20,659,5208,33.03,25.62,Canada,61.79,22.71,24.91,21.39,25.37,25.44
Ceramics designer,Retail,Decreasing,Moderate,72211.3,High School,5,1073,1829,7.61,20.72,India,55.85,17.26,17.73,23.23,17.57,18.69
Chiropodist,Retail,Increasing,Low,90116.03,High School,5,2667,1438,34.08,65.15,India,56.94,59.85,60.71,61.06,68,69.43
Water engineer,Healthcare,Increasing,Moderate,64812.94,Master’s Degree,6,9794,5764,92.38,62.44,Australia,78.43,57.51,57.23,62.23,59.38,63.98
Animal nutritionist,Education,Increasing,Low,41738.24,High School,6,9520,8776,81.51,46.78,Germany,67.35,45.62,40.98,50.22,51.29,44.65
"Journalist, broadcasting",Finance,Increasing,High,64897.31,PhD,11,4540,1996,97.81,89.6,Germany,77.22,80.18,84.56,86.32,89.24,96.46
Industrial buyer,IT,Decreasing,High,102496.94,Associate Degree,16,2846,5782,1.07,73.08,UK,41.77,62.68,62.33,62.14,66.48,71.01
Media buyer,Finance,Increasing,Low,59470.91,Bachelor’s Degree,4,3290,6658,18.64,12.1,Germany,51.41,11.24,7.78,10,10.39,13.47
Legal executive,Healthcare,Decreasing,Moderate,73567.18,Bachelor’s Degree,1,8806,833,7.78,47.06,Germany,20.12,51.42,43.11,43.83,48.9,48.45
"Doctor, hospital",IT,Increasing,Low,122469.19,Bachelor’s Degree,6,309,5365,42.61,72,USA,73.35,73.51,69.94,67.53,72.06,75.01
Multimedia programmer,Finance,Decreasing,High,96261.78,PhD,3,1353,7982,29.41,26.71,Germany,25.9,20.8,21.64,24.48,26.28,28.33
